iteration,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score
157,90,90,80,80,70,90,80,80,90,70,80,60,70,70,80,80,70,70,60,60
158,90,90,80,80,90,90,100,80,90,90,100,100,90,110,80,100,90,110,80,120
159,90,90,80,80,70,70,60,60,50,70,40,60,50,50,40,40,30,30,40,20
160,90,90,80,80,90,90,80,80,70,90,60,80,70,70,60,80,50,90,40,100
161,90,110,80,100,90,90,100,100,90,90,80,80,70,70,80,60,70,50,60,40
162,110,90,100,100,110,110,100,120,90,110,80,100,70,110,80,100,90,90,80,100
163,110,90,120,80,130,90,120,80,110,90,120,80,110,70,100,60,110,50,120,60
164,110,90,120,100,110,90,100,80,90,70,100,60,90,50,80,40,70,30,80,20
165,110,110,100,100,90,110,80,120,70,110,80,100,70,110,60,100,70,90,60,80
166,110,110,100,100,110,90,120,80,110,70,100,60,90,50,100,60,90,50,100,60
167,90,90,80,80,70,70,60,60,70,50,60,40,70,30,60,20,70,10,80,0
168,90,90,80,80,70,70,80,60,90,50,80,40,70,30,60,40,50,30,40,40
169,110,90,100,100,90,90,80,80,70,70,60,60,50,70,60,60,50,70,40,60
170,90,90,80,80,90,70,100,60,90,50,80,60,70,50,80,40,90,50,80,40
171,90,110,80,100,70,90,60,100,50,110,40,120,30,110,40,120,30,110,20,100
172,90,90,80,80,70,90,60,80,50,90,40,80,30,90,40,80,30,70,20,60
173,90,90,80,80,90,70,80,60,70,50,60,60,50,70,40,60,50,50,40,40
174,90,90,80,100,70,110,60,100,50,90,60,80,70,70,60,80,50,70,40,80
175,110,90,120,80,110,70,100,80,90,70,100,80,90,70,80,60,70,50,80,40
176,90,110,80,100,70,90,80,80,70,70,60,60,70,50,80,40,70,50,60,40
177,90,90,80,80,70,90,60,100,50,110,40,100,30,90,20,80,10,70,0,60
178,90,110,80,100,70,90,80,80,70,70,60,80,50,70,60,80,50,70,40,80
179,110,90,100,100,90,90,100,80,90,90,80,80,90,90,80,100,90,90,100,80
180,110,110,100,100,90,110,100,100,110,90,100,100,90,90,80,80,90,70,100,80
181,90,110,100,100,110,110,120,120,130,130,140,120,130,110,120,120,110,110,100,100
182,110,90,100,100,110,90,100,80,90,90,80,80,90,70,100,60,90,50,80,60
